Product naam;Prijs;Categorie;Sector*;Merk;Maten;Kleuren;Product foto;Product beschrijving;EAN
Sioen Regenbroek Rotterdam 4500;€ 35,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;XL;Groen Khaki;https://www.roerdink.nl/write/assets/modellen/0062406/0062406_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_4_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), Soepel, elastisch en comfortabel, Hoog frequent gelaste naden, Beenvernauwing d.m.v. drukknopen, Elastiek in lenden.;5411805078593
Sioen Regenbroek Rotterdam 4500;€ 35,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;2XL;Groen Khaki;https://www.roerdink.nl/write/assets/modellen/0062406/0062406_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_4_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), Soepel, elastisch en comfortabel, Hoog frequent gelaste naden, Beenvernauwing d.m.v. drukknopen, Elastiek in lenden.;5411805079231
Sioen Regenbroek Rotterdam 4500;€ 35,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;3XL;Groen Khaki;https://www.roerdink.nl/write/assets/modellen/0062406/0062406_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_4_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), Soepel, elastisch en comfortabel, Hoog frequent gelaste naden, Beenvernauwing d.m.v. drukknopen, Elastiek in lenden.;5411805079248
Sioen Regenbroek Rotterdam 4500;€ 35,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;4XL;Groen Khaki;https://www.roerdink.nl/write/assets/modellen/0062406/0062406_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_4_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), Soepel, elastisch en comfortabel, Hoog frequent gelaste naden, Beenvernauwing d.m.v. drukknopen, Elastiek in lenden.;5411805116455
Sioen Regenbroek Rotterdam 4500;€ 35,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;XL;Geel;https://www.roerdink.nl/write/assets/modellen/0062406/0062406_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_4_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), Soepel, elastisch en comfortabel, Hoog frequent gelaste naden, Beenvernauwing d.m.v. drukknopen, Elastiek in lenden.;5411805090908
Sioen Regenbroek Rotterdam 4500;€ 35,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;2XL;Geel;https://www.roerdink.nl/write/assets/modellen/0062406/0062406_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_4_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), Soepel, elastisch en comfortabel, Hoog frequent gelaste naden, Beenvernauwing d.m.v. drukknopen, Elastiek in lenden.;5411805090915
Sioen Regenbroek Rotterdam 4500;€ 35,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;3XL;Geel;https://www.roerdink.nl/write/assets/modellen/0062406/0062406_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_4_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), Soepel, elastisch en comfortabel, Hoog frequent gelaste naden, Beenvernauwing d.m.v. drukknopen, Elastiek in lenden.;5411805117056
Sioen Regenbroek Rotterdam 4500;€ 35,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;4XL;Geel;https://www.roerdink.nl/write/assets/modellen/0062406/0062406_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062406/0062406_4_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), Soepel, elastisch en comfortabel, Hoog frequent gelaste naden, Beenvernauwing d.m.v. drukknopen, Elastiek in lenden.;5411805168270
Sioen Batur RWS Regenbroek ;€ 45,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;XL;Fluo Oranje;https://www.roerdink.nl/write/assets/modellen/0070911/0070911_0_Large.jpg;"Sioen 6564 Batur Broek RWS 
Kwaliteit: 100% polyester breisel met PU-coating 170 gr/m²
Beenvernauwing d.m.v. drukknopen


";5411805580874
Sioen Batur RWS Regenbroek ;€ 45,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;2XL;Fluo Oranje;https://www.roerdink.nl/write/assets/modellen/0070911/0070911_0_Large.jpg;"Sioen 6564 Batur Broek RWS 
Kwaliteit: 100% polyester breisel met PU-coating 170 gr/m²
Beenvernauwing d.m.v. drukknopen


";5411805580898
Sioen Batur RWS Regenbroek ;€ 45,99;Broeken;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;3XL;Fluo Oranje;https://www.roerdink.nl/write/assets/modellen/0070911/0070911_0_Large.jpg;"Sioen 6564 Batur Broek RWS 
Kwaliteit: 100% polyester breisel met PU-coating 170 gr/m²
Beenvernauwing d.m.v. drukknopen


";5411805580904
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;XL;Geel;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805088387
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;2XL;Geel;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805088394
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;3XL;Geel;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805088400
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;4XL;Geel;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805187028
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;XL;Groen Khaki;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805084600
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;2XL;Groen Khaki;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805084617
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;3XL;Groen Khaki;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805097242
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;4XL;Groen Khaki;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805781493
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;XL;Oranje;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805095828
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;2XL;Oranje;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805237952
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;3XL;Oranje;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805186540
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;4XL;Oranje;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805091059
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;XL;Marine;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805153436
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;2XL;Marine;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805153443
Sioen Regenjas Dortmund 4820;€ 59,99;Jassen;Bouw, Schoonmaak, Agrarisch, Beveiliging, Detailhandel, Industrie,  Staalbouw, Transport/Logistiek;Sioen;3XL;Marine;https://www.roerdink.nl/write/assets/modellen/0062405/0062405_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0062405/0062405_3_Large.jpg;Kwaliteit: 100% polyamide breisel met PU-coating, 180 gr/m², (Flexothane® Classic), 100% waterdicht, Hoog frequent gelaste naden,  Rechtopstaande kraag,  Capuchon in kraag,  Ritssluiting onder beleg met drukknopen, Twee opgezette zakken, Raglan mouwen, Elastische polsband met drukknoopvernauwing, Onderarmventilatie, Ruglengte 85 cm (L).;5411805202820
